Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
15.443,4697.65,-2.741868668040544,70.88615479936824,41.608251758123124,31.1671,-15.444380432835764,6.69344216551552,106,3.8627409231880314,14.989674217059072,1494159.5281,171.438,10796.5,15.897494247910798,106.28813937604457,20.765930141847306,14.913296310978646,0.36401,51.52381769601341,3930.06,95.6925
4.876,3999.52,-6.80698107206516,42.08085303671154,46.007086058523605,33.9254,-14.907080137240095,0.08094669689608423,25,1.5626598170090542,19.90499687756859,1287968.4592,132.38,9358.93,12.50251802030224,94.27294387101102,7.634619616064818,18.228091893557536,0.32162,48.39395533393338,3010.09,63.7868
13.834,3191.67,-5.357907154073441,71.32752908898735,42.67552594316399,38.6468,-18.026030695766497,0.7098575308918953,16,-21.26187999818771,9.416617335512298,883326.9764,80.3101,6691.38,12.891187349767227,125.86386325253174,26.324409462159267,19.21823306881048,0.21169,45.12347517697852,1416.55,65.1795
2.611,4690.61,-17.860011207689972,121.20172006839431,41.36721411902703,33.141,-19.976574217750095,2.1803937050605064,42,-9.988011638123705,10.486164889865924,1413005.2841,122.747,10022.4,11.223238474360711,105.06681258481595,14.427748841876797,17.634170496372537,0.2307,44.5758963764755,2312.17,84.2196
1.519,1391.26,-4.341286597811093,53.29421633666976,50.997460302969614,44.37,-45.424130032869854,1.6288052237683777,17,12.052876230870364,13.265480768613424,573890.9339,52.4698,4174.11,11.017176354081776,129.73049585995383,16.957419698760837,13.548989137483014,0.29879,51.28044514439179,1247.2,34.3996
1.866,4046.15,-4.103915990748199,42.70136030114349,46.99762480216026,33.2816,-11.6325934704039,0.4439681384989863,11,0.7149927340061186,13.968070919096876,1319674.9425,129.812,9592.64,12.589468807693793,161.81873913881384,24.215928453323343,14.599888999933635,0.32501,37.85053701357296,3117.73,105.883
1.881,3200.13,-11.073689979525469,62.13667801511896,40.673136312158576,38.4385,-15.634759220809949,6.096321748926142,60,19.942242717613382,11.745366474770671,896717.9229,95.8155,6608.25,10.467474965390503,71.88232082858792,-0.5241154762480189,14.78454967416861,0.35321,53.18213200343069,2334.14,76.2705
9.32,3253.2,-9.737246004887528,39.22067030253035,44.112418698530284,39.0909,-17.442903322411105,0.6300738715260625,17,-6.593852583369685,14.758826911658623,1005273.4442,86.3126,6988.95,10.911303899497968,120.32864185180627,17.61994343068198,13.245020591059149,0.36498,47.29379311634922,2550.87,56.6981
15.673,3379.08,-9.156239040559065,64.73465373794123,47.73261888016807,35.8973,-16.969105067554693,1.5395203144799596,46,-2.191432103803706,14.929676469198824,988533.1622,126.609,7378.04,14.15497069216704,176.3839862943402,-2.1420915069283417,21.47571509670346,0.34449,66.81510341065487,2541.72,80.7604
1.969,4639.16,-3.630424400850067,48.27628471175474,42.54314854217395,28.3523,-9.613788781235195,1.8134579960991426,26,-1.9963406030744526,12.260721738735329,1877734.0439,199.404,13732.2,14.390557856709007,134.4351002952576,-5.761558587788107,14.156622089619676,0.27077,38.70897004702731,3718.4,146.812
8.21,2569.8,-6.489374787827263,36.51487816836597,43.93472143953842,41.5185,-18.707293883102864,0.3475804179906845,55,11.565178506797057,16.68214659551515,807810.7652,84.033,5729.97,13.714975776972889,116.91811104330857,9.103017225727033,18.677271657304306,0.35713,99.8821299420592,2046.4,54.9784
2.748,5689.04,-6.697752731413983,53.225147785980745,42.84110405564933,22.1412,-17.300036467425418,0.7734679970890284,177,-5.228080852331061,20.401800362043158,2044990.5219,299.952,15104.2,15.865834040525897,29.03975327430726,4.57895481821383,24.47495627208443,0.32323,58.30047975219887,4882.24,222.526
12.511,4007.86,-7.142842138199135,37.97013138542479,45.3483685569264,33.7889,-20.5026053329605,1.818639580076361,97,-11.364398629523931,13.627794128419609,1435855.8626,128.323,10441.2,11.787133236952062,83.12900018791441,6.52021054399334,18.54051846997433,0.32561,-66.68423164909683,3399.79,96.1944
7.901,3453.72,-9.45246930495905,38.62912677294973,47.750295542591964,36.2366,-11.204645915079007,1.1756342118605971,25,-7.987046984312668,11.149418315487436,1022400.1498,89.7048,7428.28,13.292555176770243,129.72494628293384,15.056238746982853,17.155610559998383,0.17791,41.714197212926,1321.62,67.3034
1.781,3025.8,-3.9911934965042244,50.521506366253774,42.399524919420706,40.1438,-16.624490088515593,1.6998361385518554,31,-25.28919156295386,16.90557516976104,787934.4102,89.0032,5749.25,12.24599709984205,99.40886183350631,18.411858336562922,13.131965460717959,0.35539,49.721791436570776,2043.27,71.2105
17.081,3215.49,-5.750081695502506,45.55981539593633,50.83879356269962,37.9129,-23.450100181036557,0.9966715582749696,46,9.114640571172117,19.91881358242198,1096003.5942,120.661,8332.74,11.728390009902592,117.81576249350213,17.853253534604047,27.340406664481826,0.27882,43.25604331308929,2323.37,71.3058
3.297,6315.87,-1.745957824217128,47.35112659279691,44.324475239423215,17.834,-20.619459354948344,0.18918521981686354,116,-17.186202551028355,10.264039153051135,3319293.4161,398.119,23729.3,12.793012304265647,131.02640131663594,4.555531524469487,51.1991979058476,0.3325,47.22188564159639,7890.07,308.892
2.096,3673.69,-6.203980147313945,46.18917163715583,47.16732880387282,34.6603,-11.343785239557794,0.8569691842421889,16,-22.020363048604487,15.84039956512243,1161480.1183,124.913,8217.11,12.527574546477243,158.64380714914307,13.382667010079889,26.036898918934163,0.29389,3.3361726393103552,2414.99,82.6557
1.886,4476.4,-13.754903037071648,29.50785442011985,48.659273271700584,31.4196,-18.209625332684976,5.549140802766246,90,-14.362737549876309,17.8926918118489,1627590.1055,166.073,11805.9,14.850781417692001,123.24924360612498,14.375260781026268,26.487566961005168,0.27341,53.909372836234105,3227.89,135.513
15.881,2744.21,-3.0976344148285544,43.568459315934156,42.93429754372998,38.201,-30.960608966033607,2.3124690651053434,40,-7.351005067929608,16.217716133188976,885488.0911,83.106,6437.81,14.10724397043332,100.85216048479806,10.19544410499662,13.178550287881473,0.2475,52.15790413577156,1593.42,59.4527
2.331,3713.87,-6.662439415432558,47.27830094395084,45.68664291954176,36.5044,-27.240996621944777,1.146681890822947,16,-17.234093428489295,17.9673086936597,1085295.1697,105.818,7772.81,11.730132620026408,110.92189222162057,16.087576995872567,14.07547534461846,0.27565,41.47740850610465,2142.65,68.8643
3.249,4324.71,-10.273807247541184,31.166048013412052,48.6773233010551,33.2669,-9.839507357940708,2.3394950087273365,43,4.4357413383694855,15.857646259978985,1393340.5196,126.019,10012.6,10.120871685738589,146.3906687337236,9.964238874847613,18.228464936836378,0.26803,42.31872299299776,2683.74,97.8183
2.865,4318.37,-10.292162474707316,46.061762021732655,41.93030852627063,31.1235,-15.971314518650408,1.2930377135053277,163,-14.691036504287435,19.25161542983155,1345749.2155,199.672,9904.24,11.699041690905927,102.59163408684847,14.424509816682223,22.73672237498299,0.39484,80.93630944051314,3910.62,120.679
14.187,3116.38,-4.759125258089483,32.99361196920705,36.0137158793613,40.6591,-18.03880664891604,1.9272255114370827,7,-20.445256232962556,10.146601235461556,972540.668,103.278,6868.47,13.3385148896499,164.55252284307437,16.67949202505354,19.296468275059585,0.32786,49.511830045823835,2251.91,53.7828
1.535,3578.96,-3.472590874034773,32.91987436584511,46.477179820005254,33.9121,-15.646423266429704,6.60335952009926,123,-16.600712472929587,12.310120899538516,1356366.8484,149.79,9817.2,10.604640465420767,136.59415230353306,10.784889713083485,31.31464201351526,0.30458,80.55329417010888,2990.21,96.7656
1.429,3473.63,-4.202206259444475,47.83490945390194,45.02946176265573,37.022,-23.563164274612046,3.9038098974335678,9,-18.471545081251023,18.58680358898791,1056884.2374,125.28,7895.38,9.584927401203515,157.1604992850604,11.92398519709825,15.98586056192192,0.25122,52.5514200936202,1983.5,101.022
11.71,3895.4,-7.596758017471424,67.6529479157975,43.39090046804875,36.1924,-13.7048378766525,1.7869839770503737,68,-6.362599045109768,11.999959496547724,1042553.4675,109.739,7593.9,11.426394447911793,151.8262638714746,5.175103488576612,24.039738974365598,0.34362,54.813646869351395,2609.47,68.2104
2.411,2717.09,-14.476600218382465,77.00941736404504,46.53843470079957,40.5528,-41.1286544503691,6.495204999706842,43,13.143161889180021,10.923120221993317,867819.9725,90.7106,6199.7,12.493096748256873,111.50620308999838,-6.222396128740057,24.38068760182919,0.33276,92.68296345167195,2063.04,58.5012
3.791,3912.79,-4.110426286624438,42.72007108403543,42.77186433083203,34.5939,-20.556595398126454,4.815130430952979,60,-31.14114881753433,15.830022842791404,1343700.6766,172.147,9519.9,13.453124548838817,122.11610073557412,10.081695561295865,29.522068115126025,0.2311,53.657633488207566,2200.05,124.958
